gene	syn	description	protein	fun_desc	essential
arnT	"pbgE1(S.t.), pmrK(S.t.), pqaB(S.t.), yfbI"	4-amino-4-deoxy-L-arabinose(Ara4N):Lipid A transferase; modifies lipid A phosphates with aminoarabinose and confers resistance to polymyxin B and cationic antimicrobial peptides; glycolipid donor is undecaprenyl phosphate-alpha-L-Ara4N	4-amino-4-deoxy-L-arabinose transferase	Null	N
aroA	None	5-enolpyruvyl shikimate-3-phosphate synthase; ESPS synthase; 3-phosphoshikimate-1-carboxyvinyltransferase	5-enolpyruvylshikimate-3-phosphate synthetase	Enzyme; Amino acid biosynthesis: Chorismate	N
aroB	None	3-Dehydroquinate synthase	3-dehydroquinate synthase	Enzyme; Amino acid biosynthesis: Chorismate	N
aroC	None	Chorismate synthase	chorismate synthase	Enzyme; Amino acid biosynthesis: Chorismate	N
aroD	None	3-Dehydroquinate dehydratase	3-dehydroquinate dehydratase	Enzyme; Amino acid biosynthesis: Chorismate	N
aroE	None	Shikimate 5-dehydrogenase	"dehydroshikimate reductase, NAD(P)-binding"	Enzyme; Amino acid biosynthesis: Chorismate	N
aroF	None	3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) synthase; tyrosine repressible; TyrR regulon	"3-deoxy-D-arabino-heptulosonate-7-phosphate synthase, tyrosine-repressible"	Enzyme; Amino acid biosynthesis: Tyrosine	N
aroG	None	3-deoxy-D-arabino-heptulosonate-7-phosphate (DAHP) synthase; phenylalanine repressible; TyrR regulon	"3-deoxy-D-arabino-heptulosonate-7-phosphate synthase, phenylalanine repressible"	Enzyme; Amino acid biosynthesis: Phenylalanine	N
aroH	None	3-deoxy-D-arabino-heptulosonate-7-phosphate (DAHP) synthase; tryptophan repressible	"3-deoxy-D-arabino-heptulosonate-7-phosphate synthase, tryptophan repressible"	Enzyme; Amino acid biosynthesis: Tryptophan	N
aroK	None	Shikimate kinase I; alkali-inducible	shikimate kinase I	Enzyme; Amino acid biosynthesis: Chorismate	Y
aroL	None	Shikimate kinase II	shikimate kinase II	Enzyme; Amino acid biosynthesis: Chorismate	N
aroM	None	"Regulated by aroR, function unknown"	"conserved protein, AroM family; regulated by aroR"	Null	N
aroP	None	General aromatic amino acid transport permease	aromatic amino acid transporter	"Transport; Transport of small molecules: Amino acids, amines"	N
arpA	yjaC	"Ankyrin repeat protein, function unknown"	ankyrin repeat protein	Null	N
arrS	None	"Antisense sRNA ArrS, GadE-regulated, function unknown"	Null	Null	N
arsB	arsF	"Arsenite pump, inner membrane; resistance to arsenate, arsenite, and antimonite"	arsenite/antimonite transporter	Transport; Drug/analog sensitivity	N
arsC	arsG	"Arsenate reductase; resistance to arsenate, arsenite, and antimonite"	arsenate reductase	Enzyme; Drug/analog sensitivity	N
arsR	arsE	"Arsenate resistance operon repressor; resistance to arsenate, arsenite, and antimonite"	DNA-binding transcriptional repressor	Regulator; Drug/analog sensitivity	N
artI	None	"Periplasmic binding protein in artPIQM operon, ligand unknown"	arginine transporter subunit	"Transport; Transport of small molecules: Amino acids, amines"	N
artJ	None	"Arginine-binding protein, periplasmic"	"arginine binding protein, periplasmic"	"Transport; Transport of small molecules: Amino acids, amines"	N
artM	None	Arginine ABC transporter permease	arginine transporter subunit	"Transport; Transport of small molecules: Amino acids, amines"	N
artP	None	Arginine ABC transporter ATP-binding protein	arginine transporter subunit	"Transport; Transport of small molecules: Amino acids, amines"	N
artQ	None	Arginine ABC transporter permease	arginine transporter subunit	"Transport; Transport of small molecules: Amino acids, amines"	N
ascB	sac	Cryptic phospho-beta-glucosidase; expressed when AscG is mutated	cryptic 6-phospho-beta-glucosidase	Enzyme; Degradation of small molecules: Carbon compounds	N
ascF	sac	"PTS system EIIBC enzyme, beta-glucoside phosphotransferase; paralogous to bglF; cryptic unless AscG is mutated"	fused cellobiose/arbutin/salicin-specific PTS enzymes: IIB component/IC component	"Enzyme; Transport of small molecules: Carbohydrates, organic acids, alcohols"	N
ascG	sac	Repressor of cryptic asc operon	DNA-binding transcriptional repressor	Regulator; Degradation of small molecules: Carbon compounds	N
asd	"dap, hom"	Aspartate semialdehyde dehydrogenase	"aspartate-semialdehyde dehydrogenase, NAD(P)-binding"	Enzyme; Amino acid biosynthesis: Lysine	Y
aslA	"atsA, gppB"	"Predicted periplasmic arylsulphatase, suppresses gpp mutants"	acrylsulfatase-like enzyme	Enzyme; Central intermediary metabolism: Sulfur metabolism	N
aslB	"atsB, gppB"	Predicted sulfatase-maturating enzyme; suppresses gpp mutants; Radical SAM enzyme	predicted regulator of arylsulfatase activity	Regulator; Not classified	N
asmA	yegA	Suppressor of OmpF assembly mutants; may be more generally involved in OM protein assembly; required for swarming phenotype	predicted assembly protein	Phenotype; Outer membrane constituents	N
asnA	None	Asparagine synthase A; aspartate-ammonia ligase	asparagine synthetase A	Enzyme; Amino acid biosynthesis: Asparagine	N
asnB	None	Asparagine synthase B [glutamine-hydrolyzing]	asparagine synthetase B	Enzyme; Amino acid biosynthesis: Asparagine	N
asnC	None	"Regulatory gene for asnA, asnC, gidA, Lrp family"	DNA-binding transcriptional dual regulator	Regulator; Amino acid biosynthesis: Asparagine	N
asnS	"lcs, tss"	Asparagine--tRNA ligase	asparaginyl tRNA synthetase	"Enzyme; Aminoacyl tRNA synthetases, tRNA modification"	N
asnT	None	Asparagine tRNA(GUU)	Null	Null	N
asnU	None	Asparagine tRNA(GUU)	Null	Null	N
asnV	None	Asparagine tRNA(GUU)	Null	Null	N
asnW	None	Asparagine tRNA(GUU)	Null	Null	N
aspA	None	L-Aspartate ammonia-lyase; L-aspartase	aspartate ammonia-lyase	"Enzyme; Central intermediary metabolism: Pool, multipurpose conversions"	N
aspC	None	"Aspartate aminotransferase, AspAT; kynurenine aminotransferase; glutamine transaminase K"	"aspartate aminotransferase, PLP-dependent"	Enzyme; Amino acid biosynthesis: Aspartate	N
aspS	tls	Aspartate--tRNA ligase	aspartyl-tRNA synthetase	"Enzyme; Aminoacyl tRNA synthetases, tRNA modification"	Y
aspT	tasC	Aspartate tRNA(GUC) 1 triplicated gene	Null	Null	N
aspU	None	Aspartate tRNA(GUC) 1 triplicated gene	Null	Null	N
aspV	None	Aspartate tRNA(GUC) 1 triplicated gene	Null	Null	N
asr	None	Acid shock-inducible periplasmic protein required for acid tolerance; expression controlled by phoBR	acid shock-inducible periplasmic protein	Phenotype; Not classified	N
astA	ydjV	"Arginine succinyltransferase, arginine catabolism"	arginine succinyltransferase	Null	N
astB	ydjT	"Succinylarginine dihydrolase, arginine catabolism"	succinylarginine dihydrolase	Null	N
astC	"argM, cstC, ydjW"	"Succinylornithine transaminase, mutant cannot catabolize arginine, overproduction complements argD mutants; carbon starvation protein"	"succinylornithine transaminase, PLP-dependent"	Enzyme; Amino acid biosynthesis: Arginine	N
astD	ydjU	"Succinylglutamic semialdehyde dehydrogenase, NAD-dependent; arginine catabolism"	succinylglutamic semialdehyde dehydrogenase	Putative enzyme; Not classified	N
astE	ydjS	"Succinylglutamate desuccinylase, arginine catabolism"	succinylglutamate desuccinylase	Null	N
atoA	None	Acetate CoA-transferase	"acetyl-CoA:acetoacetyl-CoA transferase, beta subunit"	Enzyme; Degradation of small molecules: Fatty acids	N
atoB	None	Acetyl-CoA acetyltransferase	acetyl-CoA acetyltransferase	Enzyme; Degradation of small molecules: Fatty acids	N
atoC	Az	"Response regulator for atoDAEB operon; AtoS is the two-component cognate sensor protein; induced by acetoacetate; ornithine decarboxylase antizyme Az, polyamine-inducible"	"fused response regulator of ato operon, in two-component system with AtoS: response regulator/sigma54 interaction protein"	Regulator; Degradation of small molecules: Fatty acids	N
atoD	None	Acetyl-CoA:acetoacetyl-CoA transferase beta-subunit	"acetyl-CoA:acetoacetyl-CoA transferase, alpha subunit"	Enzyme; Degradation of small molecules: Fatty acids	N
atoE	None	Short-chain fatty acids transporter	short chain fatty acid transporter	Transport; Degradation of small molecules: Fatty acids	N
atoS	None	Transcriptional histidine protein kinase regulator of atoDAEB; membrane sensor; AtoC is the two-component cognate response regulator; induced by acetoacetate	sensory histidine kinase in two-component regulatory system with AtoC	Regulator; Not classified	N
atpA	"papA, uncA"	"ATP synthase subunit alpha, membrane-bound, F1 sector"	"F1 sector of membrane-bound ATP synthase, alpha subunit"	Enzyme; ATP-proton motive force interconversion	N
atpB	"papD, uncB"	"ATP synthase subunit a, membrane-bound, F0 sector"	"F0 sector of membrane-bound ATP synthase, subunit a"	Enzyme; ATP-proton motive force interconversion	N
atpC	"papG, uncC"	"ATP synthase subunit epsilon, membrane-bound, F1 sector"	"F1 sector of membrane-bound ATP synthase, epsilon subunit"	Enzyme; ATP-proton motive force interconversion	N
atpD	"papB, uncD"	"ATP synthase subunit beta, membrane-bound, F1 sector"	"F1 sector of membrane-bound ATP synthase, beta subunit"	Enzyme; ATP-proton motive force interconversion	N
atpE	"papH, uncE"	"ATP synthase subunit c, membrane-bound, F0 sector; DCCD-binding"	"F0 sector of membrane-bound ATP synthase, subunit c"	Enzyme; ATP-proton motive force interconversion	N
atpF	"papF, uncF"	"ATP synthase subunit b, membrane-bound, F0 sector"	"F0 sector of membrane-bound ATP synthase, subunit b"	Enzyme; ATP-proton motive force interconversion	N
atpG	"papC, uncG"	"ATP synthase subunit gamma, membrane-bound, F1 sector"	"F1 sector of membrane-bound ATP synthase, gamma subunit"	Enzyme; ATP-proton motive force interconversion	N
atpH	"papE, uncH"	"ATP synthase subunit delta, membrane-bound, F1 sector"	"F1 sector of membrane-bound ATP synthase, delta subunit"	Enzyme; ATP-proton motive force interconversion	N
atpI	uncI	"ATP synthase, membrane-bound accessory factor"	"ATP synthase, membrane-bound accessory factor"	Enzyme; ATP-proton motive force interconversion	N
avtA	None	Valine--pyruvate aminotransferase 1; transaminase C; glutamic-pyruvic transaminase (GPT)	valine-pyruvate aminotransferase 1	Enzyme; Amino acid biosynthesis: Alanine	N
azoR	acpD	"NADH-azoreductase, FMN-dependent"	"NADH-azoreductase, FMN-dependent"	Enzyme; Fatty acid and phosphatidic acid biosynthesis	N
azuC	"IS092, isrB"	"Expressed protein, membrane-associated"	expressed protein	Null	N
bacA	uppP	Undecaprenyl pyrophosphate phosphatase BacA(UppP); overexpression confers bacitracin resistance	undecaprenyl pyrophosphate phosphatase	Putative transport; Drug/analog sensitivity	N
baeR	None	"Response regulator for mdtABCD, acrD and spy"	DNA-binding response regulator in two-component regulatory system with BaeS	"Regulator; RNA synthesis, modification, DNA transcription"	N
baeS	None	"Sensor kinase for mdtABCD, acrD and spy"	sensory histidine kinase in two-component regulatory system with BaeR	"Enzyme; RNA synthesis, modification, DNA transcription"	N
bamA	"ecfK, omp85(N.m.), yaeT, yzzN, yzzY"	Outer membrane protein required for OM biogenesis; in BamABCDE complex; forms pores; PORTA repeats	"outer membrane protein assembly factor, forms pores; required for OM biogenesis; in BamABCDE OM protein complex"	Null	N
bamB	yfgL	Beta-propeller lipoprotein in OM biogenesis BamABCDE complex; WD40/PQQ repeats; mutant has pleiotropic envelope defects; required for swarming phenotype	"lipoprotein required for OM biogenesis, in BamABCDE complex"	Null	N
bamC	"dapX, nlpB"	Tandem domain lipoprotein in BamABCDE OM biogenesis complex; mutant is rifampin-sensitive	"lipoprotein required for OM biogenesis, in BamABCDE complex"	"Membrane; Macromolecule synthesis, modification: Lipoprotein"	N
bamD	"ecfD, yfiO"	TPR-repeat lipoprotein required for OM biogenesis; in BamABCDE complex	"lipoprotein required for OM biogenesis, in BamABCDE complex"	Null	N
bamE	"smpA, smqA"	Lipoprotein stabilizer of BamABCDE OM biogenesis complex	lipoprotein component of BamABCDE OM biogenesis complex	Null	N
barA	"airS(S.t.), gacC"	"Sensor histidine protein kinase, pleiotropic; controls the expresion of csrB/C sRNAs; works in concert with UvrY response regulator"	"hybrid sensory histidine kinase, in two-component regulatory system with UvrY"	Enzyme; Global regulatory functions	N
basR	pmrA(S.t.)	Response regulator for Lipid A modification genes; two-component system involved in polymyxin resistance that senses high extracellular Fe(2+)	DNA-binding response regulator in two-component regulatory system with BasS	"Regulator; RNA synthesis, modification, DNA transcription"	N
basS	pmrB(S.t.)	Histidine protein kinase sensor for Lipid A modification genes; two-component system involved in polymyxin resistance that senses high extracellular Fe(2+)	sensory histidine kinase in two-component regulatory system with BasR	"Enzyme; RNA synthesis, modification, DNA transcription"	N
bax	None	"Gene transcribed divergently from malS, function unknown"	conserved protein	Orf; Not classified	N
bcp	None	"Peroxiredoxin, thioredoxin-dependent thiol peroxidase; peroxide hypersensitivity; Prx"	"peroxiredoxin; thiol peroxidase, thioredoxin-dependent"	Phenotype; Not classified	N
bcr	"bicA, bicR, sur, suxA"	"Efflux pump for bicyclomycin, cysteine and sulfonamides"	bicyclomycin/multidrug efflux system	Transport; Drug/analog sensitivity	N
bcsA	"yhjO, yhjP"	"Celullose synthase, catalytic subunit; inner membrane protein"	"cellulose synthase, catalytic subunit"	Putative enzyme; Not classified	N
bcsB	yhjN	"Cellulose synthase, regulatory subunit; may bind cyclic-di-GMP; probably periplasmic"	"regulator of cellulose synthase, cyclic di-GMP binding"	Null	N
bcsC	yhjL	"Oxidase involved in cellulose production, contains TPR repeats"	cellulose synthase subunit	Putative enzyme; Not classified	N
bcsE	yhjS	Protein required for cellulose production	cellulose production protein	Null	N
bcsF	yhjT	Small membrane protein associated with cellulose production	predicted protein	Null	N
bcsG	yhjU	"Predicted endoglucanase, inner membrane protein; endohydrolysis of 1,4-beta-D-glucosidic linkages in cellulose"	"inner membrane protein, predicted endoglucanase, DUF3260 family"	Null	N
bcsZ	"bcsC, yhjM"	"Endo-1,4-D-glucanase; breaks down carboxymethylcellulose; periplasmic cellulase"	"endo-1,4-D-glucanase"	Null	N
bdcA	yjgI	c-di-GMP-binding protein mediating biofilm dispersal	c-di-GMP-binding protein mediating biofilm dispersal	Regulator; Not classified	N
bdcR	yjgJ	Transcriptional repressor for divergent bdcA	transcriptional repressor for divergent bdcA	Regulator; Not classified	N
bdm	yddX	Osmoresponsive gene with reduced expression in biofilms; function unknown	biofilm-dependent modulation protein	Null	N
betA	None	"Choline dehydrogenase, oxygen-dependent; bet genes confer protection against osmotic stress by making the osmoprotectant glycine betaine from choline"	"choline dehydrogenase, a flavoprotein"	Enzyme; Osmotic adaptation	N
betB	None	"Betaine aldehyde dehydrogenase, NAD-dependent; bet genes confer protection against osmotic stress by making the osmoprotectant glycine betaine from choline; tetrameric"	"betaine aldehyde dehydrogenase, NAD-dependent"	Enzyme; Osmotic adaptation	N
betI	None	"Repressor for the betIBA betT divergon, choline-sensing; bet genes confer protection against osmotic stress by making the osmoprotectant glycine betaine from choline"	DNA-binding transcriptional repressor	Putative regulator; Osmotic adaptation	N
betT	None	High-affinity choline transporter; BCCT family; bet genes confer protection against osmotic stress by making the osmoprotectant glycine betaine from choline	choline transporter of high affinity	Transport; Transport of small molecules: Other	N
bfd	yheA	Bacterioferritin-associated ferredoxin; predicted redox component complexing with Bfr in iron storage and mobility [2Fe-2S]	bacterioferritin-associated ferredoxin	Null	N
bfr	None	Bacterioferritin; negatively regulated by ryhB RNA as part of indirect positive regulation by Fur; 24-mer	"bacterioferritin, iron storage and detoxification protein"	Carrier; Transport of small molecules: Cations	N
bglA	"bglD, yqfC"	Phospho-beta-glucosidase A; growth on arbutin or salicin when activated	6-phospho-beta-glucosidase A	Enzyme; Degradation of small molecules: Carbon compounds	N
bglB	None	Phospho-beta-glucosidase B; allows growth on arbutin or salicin when activated	cryptic phospho-beta-glucosidase B	Enzyme; Degradation of small molecules: Carbon compounds	N
bglF	"bglC, bglS"	"PTS system EIIABC enzyme, beta-glucoside phosphotransferase; BglG kinase/dephosphorylase; membrane-bound protein; binds BglG"	fused beta-glucoside-specific PTS enzymes: IIA component/IIB component/IIC component	"Enzyme; Transport of small molecules: Carbohydrates, organic acids, alcohols"	N
bglG	"bglC, bglR, bglS"	"Transcription anti-terminator for cryptic bglGFBH operon; RNA-binding protein; dimerization and activity modulated by phosphorylation state; binds BglF, its kinase/dephosphorylase"	transcriptional antiterminator of the bgl operon	Regulator; Degradation of small molecules: Carbon compounds	N
